Year,COUNTY,District Name,Autism,Total SWD Count,Total Students,Classification Rate,SED1,GEOID,Longitude,Latitude,PM25,Elevation (ft),vpdmin_hPa,vpdmax _hPa,ppt_mm,tmin_c,tmean_c,tmax_c,tdmean_c,Total_pop,Age20to24_percent,Age25to34_percent,Age35to44_percent,Age45to54_percent,Age55to59_percent,Age60to64_percent,Age65to74_percent,Age75to84_percent,Age85plus_percent,Age18plus_percent,Age21plus_percent,Age65plus_percent,LC_Total,Pop_density,GEO_ID,Below_poverty_percent,Bachelor_plus_percent,Median_household_income,NAME,total_pop,male_percent,female_percent,median_age,under5_percent,age5to9_percent,age10to14_percent,age15to19_percent,white_percent,black_percent,asian_percent,hispanic_percent,non_hispanic_percent,Water_percent,Developed_percent,Barren_percent,Forest_percent,Shrub_percent,Grass_percent,Pasture_crops_percent,Wetland_percent
2019,SAINT LAWRENCE,POTSDAM CENTRAL SCHOOL DISTRICT,21,202,1366,14.86,51290206,3623670,-74.9908,44.6658,4.7,427,0.42,8.41,1155.45,0.56,6.06,11.56,1.06,14761,19.38,10.68,8.41,7.84,4.64,4.85,6.4,2.98,1.86,86.57,59.05,11.23,247090500,59.74,9700000US3623670,6.8,42.9,52671,"Potsdam Central School District, New York",14761,52.4,47.6,22.8,3.5,3,4.2,22.3,88.2,4.4,2.8,4.5,95.5,1.568048954,10.0504471,0.081589539,43.45517128,0.289205777,0.312517074,21.45622758,22.78679269
2019,CAYUGA,PORT BYRON CENTRAL SCHOOL DISTRICT,8,124,810,15.31,5110104,3623430,-76.6562,43.0352,5.2,410,0.66,8.62,1239.77,3.44,8.39,13.33,3.33,6533,4.03,9.38,11.42,15.87,8.51,7.35,9.92,5.63,2.66,77.41,73.76,18.22,190462500,34.3,9700000US3623430,4.9,13,57900,"Port Byron Central School District, New York",6533,50.7,49.3,45,4.5,5.4,7.1,8.3,97.2,0.6,0.4,2.3,97.7,1.410513881,9.898641465,0.028352038,23.35404607,0.037802717,0.111518015,41.9992912,23.15983461
2020,WESTCHESTER,IRVINGTON UNION FREE SCHOOL DISTRICT,26,243,1870,12.99,66040202,3615450,-73.8663,41.0457,6.4,79,1.36,11.66,1117.35,8.17,12.78,17.33,5.83,8906,2.81,6.62,13.41,17.57,5.97,6.06,10.16,3.49,2.5,71.65,68.49,16.16,18274500,487.35,9700000US3615450,2.5,71,156000,"Irvington Union Free School District, New York",8906,46.4,53.6,41.4,4.9,10.5,8.7,7.3,78.5,3.5,11.4,7.2,92.8,37.47352869,46.48608717,0.034474267,15.35582369,0,0.039399163,0.009849791,0.600837232
2020,DUTCHESS,DOVER UNION FREE SCHOOL DISTRICT,13,202,1383,14.61,13050202,3609210,-73.5773,41.7012,5.7,548,0.85,11.47,985.52,4.72,10.44,16.11,3.89,9557,7.15,14.35,12.4,14.46,10.02,6.53,10.63,4.46,1.56,83.08,80.09,16.65,172692000,55.34,9700000US3609210,13.2,19,63503,"Dover Union Free School District, New York",9557,48,52,42.7,4.6,3.3,4.6,6,91.1,3.7,0.7,17.4,82.6,0.781738587,10.32624557,0.665520117,66.53324995,0.131332083,0.365332499,13.10193871,8.094642485
2020,FULTON,BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,27,206,1787,11.53,17110204,3600005,-74.178,43.0607,5.7,925,0.34,8.93,1095.76,2.78,8.11,13.44,3.28,11029,6.04,13.87,11.38,14.49,8.57,6.72,10.6,6.59,2.07,82.01,78.3,19.26,236584800,46.62,9700000US3600005,10,19.3,63958,"Broadalbin-Perth Central School District, New York",11029,50,50,44.6,5,4.6,5.2,4.9,93.9,2.6,1.5,4.4,95.6,9.651845765,9.85650811,0.369381296,37.36381205,0.517362062,0.429867008,21.92549986,19.88572385
2020,FRANKLIN,BRUSHTON-MOIRA CENTRAL SCHOOL DISTRICT,12,116,804,14.43,16160104,3605820,-74.5014,44.7984,5,669,0.77,9.84,882.65,2.39,7.83,13.33,2.06,4638,5.26,11.17,13.63,12.01,9.29,4.98,8.82,7.4,2.46,77.55,74.39,18.67,288261900,16.09,9700000US3605820,13.9,15.6,53109,"Brushton-Moira Central School District, New York",4638,54.4,45.6,40.7,5,4.2,9.5,6.2,93.2,1.9,1.1,0.5,99.5,0.065877593,5.314542088,0.203252667,51.5106575,0.516093178,0.838300171,24.06030766,17.49096915
2020,WESTCHESTER,ELMSFORD UNION FREE SCHOOL DISTRICT,21,153,1154,13.26,66040902,3610650,-73.8253,41.0515,6.4,318,1.14,11.26,1112.52,7.5,12.22,16.89,5.5,9561,8.02,18.02,14.4,13.04,5.89,5.94,5.25,2.47,2.06,78.33,73.63,9.78,7464600,1280.85,9700000US3610650,4.3,49.7,111378,"Elmsford Union Free School District, New York",9561,50,50,34.6,7.5,5.2,6.1,6,40.1,27.2,10,31.1,68.9,0.012056909,77.22449964,0,21.83506149,0,0,0,0.928381963
2020,DUTCHESS,MILLBROOK CENTRAL SCHOOL DISTRICT,12,178,1170,15.21,13220104,3619380,-73.6922,41.7743,5.6,541,1.04,12.14,1049.27,4.33,10.28,16.28,3.28,7484,6.59,5.77,8.67,12.84,11.8,11.76,9.59,7.16,5.83,81.63,78.37,22.58,205567200,36.41,9700000US3619380,6,41.1,85568,"Millbrook Central School District, New York",7484,49.7,50.3,52.1,1.6,5.3,7.1,5.9,89.1,4.3,2.2,4.5,95.5,0.739466218,10.28379041,0.174687401,56.28261707,0.038089734,0.262250009,25.4601415,6.758957655
2021,DELAWARE,DELAWARE ACADEMY CENTRAL SCHOOL DISTRICT AT DELHI,8,112,817,13.71,12050104,3608910,-74.9196,42.2967,6.5,1709,0.6,9.38,1291.08,1.83,7.72,13.56,2.94,8691,12.51,9.14,8.05,8.88,6.81,7.51,13.24,4.19,3.69,87.16,69.29,21.13,498681900,17.43,9700000US3608910,8.8,33.8,58750,"Delhi Central School District, New York",8691,52.6,47.4,36.9,3.3,3.6,3.5,15.7,92.2,2.3,1.9,4.9,95.1,0.248154184,6.648546899,0.050533216,65.56053067,0.034651348,0.07850696,26.1442615,1.23481522
2021,DUTCHESS,PINE PLAINS CENTRAL SCHOOL DISTRICT,9,141,912,15.46,13130104,3623040,-73.6806,41.9632,6.8,525,0.8,10.92,1288.29,4.33,9.94,15.56,4.17,8685,4.33,7.99,12.07,13.13,11.03,10.28,12.62,6.83,2.52,83.27,80.13,21.97,366579000,23.69,9700000US3623040,7.3,38.7,85385,"Pine Plains Central School District, New York",8685,49.3,50.7,50.9,4.8,4.3,4.2,5.9,89.3,0.7,2.1,6.9,93.1,0.636124819,8.485428789,0.135523311,57.04033783,0.033389801,0.206722153,25.5606295,7.901843804
